bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/26671244-220,way/26671244,220.0,f,Substation,f,way/26671244,174.61783997457155,-36.84113891848812,NZ
way/33795353-220,way/33795353,220.0,f,Substation,f,way/33795353,172.5116333991561,-43.53663436183127,NZ
way/61455399-220,way/61455399,220.0,f,Substation,f,way/61455399,174.93351284623864,-37.03888248184368,NZ
way/61853727-220,way/61853727,220.0,f,Substation,f,way/61853727,174.54125025780127,-36.76048291504552,NZ
way/75609279-220,way/75609279,220.0,f,Substation,f,way/75609279,174.86286700428343,-36.95479572098154,NZ
way/82881422-220,way/82881422,220.0,f,Substation,f,way/82881422,174.68339170211829,-36.623566678874994,NZ
way/87837416-220,way/87837416,220.0,f,Substation,f,way/87837416,175.80006536963734,-38.418988702523485,NZ
way/87897292-220,way/87897292,220.0,f,Substation,f,way/87897292,174.82801347032176,-36.92710325959701,NZ
way/87928925-220,way/87928925,220.0,f,Substation,f,way/87928925,175.7416566969681,-38.35030207409904,NZ
way/89411122-220,way/89411122,220.0,f,Substation,f,way/89411122,175.7703160170144,-38.98182130789545,NZ
way/89635947-220,way/89635947,220.0,f,Substation,f,way/89635947,170.1104820262825,-44.30165096735071,NZ
way/89636266-220,way/89636266,220.0,f,Substation,f,way/89636266,170.1794625948657,-44.34346354431556,NZ
way/89636510-220,way/89636510,220.0,f,Substation,f,way/89636510,170.02897067495863,-44.26597594035356,NZ
way/89637173-220,way/89637173,220.0,f,Substation,f,way/89637173,170.42861458487826,-44.69194620535174,NZ
way/89637174-220,way/89637174,220.0,f,Substation,f,way/89637174,170.35440539023236,-44.6584989354016,NZ
way/89637277-220,way/89637277,220.0,f,Substation,f,way/89637277,170.475161464463,-45.85481203596238,NZ
way/270521928-220,way/270521928,220.0,f,Substation,f,way/270521928,170.4330522848403,-45.85641489188837,NZ
way/89664063-220,way/89664063,220.0,f,Substation,f,way/89664063,170.19350475234972,-44.56545853172764,NZ
way/89943957-220,way/89943957,220.0,f,Substation,f,way/89943957,174.47996034953604,-35.84895203664596,NZ
way/90092620-220,way/90092620,220.0,f,Substation,f,way/90092620,168.91189272813648,-46.11520838638496,NZ
way/90098853-220,way/90098853,220.0,f,Substation,f,way/90098853,175.00047922567956,-37.18859795915482,NZ
way/93419960-220,way/93419960,220.0,f,Substation,f,way/93419960,176.88166127136128,-39.60683022316714,NZ
way/93556808-220,way/93556808,220.0,f,Substation,f,way/93556808,176.0227765041046,-38.39299523600718,NZ
way/93713118-220,way/93713118,220.0,f,Substation,f,way/93713118,174.98036026056022,-41.15050132028499,NZ
way/93827784-220,way/93827784,220.0,f,Substation,f,way/93827784,172.7561023731131,-43.051699865219646,NZ
way/94053861-220,way/94053861,220.0,f,Substation,f,way/94053861,175.305144098507,-37.77987624322308,NZ
way/94840399-220,way/94840399,220.0,f,Substation,f,way/94840399,170.63648066945944,-44.932965707882246,NZ
way/95046918-220,way/95046918,220.0,f,Substation,f,way/95046918,172.8763888183361,-42.71878836062336,NZ
way/95048289-220,way/95048289,220.0,f,Substation,f,way/95048289,172.8741002355449,-41.67338111279175,NZ
way/95343089-220,way/95343089,220.0,f,Substation,f,way/95343089,174.7595339580991,-41.259325300044885,NZ
way/95344674-220,way/95344674,220.0,f,Substation,f,way/95344674,175.05082756266484,-39.869695875888034,NZ
way/95512216-220,way/95512216,220.0,f,Substation,f,way/95512216,176.88700491828044,-39.38226910558798,NZ
way/100957314-220,way/100957314,220.0,f,Substation,f,way/100957314,172.69830857259237,-43.53256170666143,NZ
way/119877500-220,way/119877500,220.0,f,Substation,f,way/119877500,176.16910066775642,-37.73958906895314,NZ
way/148300699-220,way/148300699,220.0,f,Substation,f,way/148300699,176.72302791722325,-38.07636648904772,NZ
way/156094589-220,way/156094589,220.0,f,Substation,f,way/156094589,174.95978936132926,-36.97355530530311,NZ
way/161270797-220,way/161270797,220.0,f,Substation,f,way/161270797,174.69036266532734,-36.73920833834508,NZ
